mac_address,device,identifier,bluetooth_id
00:00:08:00:02:0F,800020F,<0f020008 0000>,200
00:00:08:00:02:10,8000210,<10020008 0000>,200
00:00:08:00:02:11,8000211,<11020008 0000>,200
00:00:08:00:02:12,8000212,<12020008 0000>,200
00:00:08:00:02:13,8000213,<13020008 0000>,200
00:00:08:00:02:14,8000214,<14020008 0000>,200
00:00:08:00:02:15,8000215,<15020008 0000>,200
00:00:08:00:02:16,8000216,<16020008 0000>,200
00:00:08:00:02:17,8000217,<17020008 0000>,200
00:00:08:00:02:18,8000218,<18020008 0000>,200
00:00:08:00:02:19,8000219,<19020008 0000>,200
00:00:08:00:02:1A,800021A,<1a020008 0000>,200
00:00:08:00:02:1B,800021B,<1b020008 0000>,200
00:00:08:00:02:1C,800021C,<1c020008 0000>,200
00:00:08:00:02:1D,800021D,<1d020008 0000>,200
00:00:08:00:02:1E,800021E,<1e020008 0000>,200
00:00:08:00:02:1F,800021F,<1f020008 0000>,200
00:00:08:00:02:20,8000220,<20020008 0000>,200
00:00:08:00:02:21,8000221,<21020008 0000>,200
00:00:08:00:02:22,8000222,<22020008 0000>,200
00:00:08:00:02:23,8000223,<23020008 0000>,200
00:00:08:00:02:24,8000224,<24020008 0000>,200
00:00:08:00:02:25,8000225,<25020008 0000>,200
00:00:08:00:02:26,8000226,<26020008 0000>,200
00:00:08:00:02:27,8000227,<27020008 0000>,200
00:00:08:00:02:28,8000228,<28020008 0000>,200
00:00:08:00:02:29,8000229,<29020008 0000>,200
00:00:08:00:02:2A,800022A,<2a020008 0000>,200
00:00:08:00:02:2B,800022B,<2b020008 0000>,200
00:00:08:00:02:2C,800022C,<2c020008 0000>,200
00:00:08:00:02:2D,800022D,<2d020008 0000>,200
00:00:08:00:02:2E,800022E,<2e020008 0000>,200
00:00:08:00:02:2F,800022F,<2f020008 0000>,200
00:00:08:00:02:30,8000230,<30020008 0000>,200
00:00:08:00:02:31,8000231,<31020008 0000>,200
00:00:08:00:02:32,8000232,<32020008 0000>,200
00:00:08:00:02:33,8000233,<33020008 0000>,200
00:00:08:00:02:34,8000234,<34020008 0000>,200
00:00:08:00:02:35,8000235,<35020008 0000>,200
